SOURCETABLE 200 OK
Server: SubCarrier Systems Corp SNIP simpleNTRIP_Caster_[wPRO]R3.18.37/of:Oct 05 2025
Date: Tue, 21 October 2025 10:27:45 UTC
Content-Type: text/plain
Content-Length: 144950

STR;BIDEFORD;Is near: Ludlow, England;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(3), 1020(2), 1033(10), 1042(3), 1046(2), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;GBR;50.99;-4.16;1;0;SNIP;none;B;N;11140;
STR;bishopsfalls;Is near: Ottawa, Ontario;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(3), 1020(2), 1033(10), 1042(3), 1046(2), 1077(1), 1087(1), 1097(1), 1107(1), 1127(1), 1230(30);;;;CAN;47.10;-1.27;1;0;SNIP;none;B;N;10260;
STR;BJERKVIK_2025;Is near: Fornebu, Akershus;RTCM 3.2;1006(10), 1013(10), 1033(10), 1073(1), 1083(1), 1093(1), 1123(1), 1230(10), 4094(10);;;;NOR;68.55;17.60;1;0;SNIP;none;B;N;5680;
STR;BK6600DNK;Is near: Skanderborg, Central Denmark Region;RTCM 3.2;1006(30), 1033(30), 1074(1), 1084(1), 1094(1), 1124(1), 1230(30);;;;DNK;55.47;9.17;1;0;SNIP;none;B;N;6720;
STR;bldr_dmsimard;Is near: Becancour, Quebec;RTCM 3.3;1006(1), 1033(1), 1077(1), 1087(1), 1097(1), 1107(1), 1117(1), 1127(1), 1137(1), 1230(1);;;;CAN;46.44;-72.07;1;0;SNIP;none;B;N;10960;
STR;bldr_SparkFun1;Is near: Denver, Colorado;RTCM 3.2;1005(1), 1033(30), 1077(1), 1087(1), 1097(1), 1117(1), 1127(1), 1137(1), 1230(1);;;;USA;40.09;-105.18;1;0;SNIP;none;B;N;17420;
STR;Blotnica;Is near: Warsaw, Masovian Voivodeship;RTCM 3.2;1005(1), 1074(1), 1084(1), 1094(1), 1124(1), 1230(1);;;;POL;51.99;16.30;1;0;SNIP;none;B;N;4560;
STR;BOBAN;Is near: Sremska Mitrovica, Autonomna Pokrajina Vojvodina;RTCM 3.2;1005(30), 1074(1), 1084(1), 1094(1);;;;SRB;45.71;19.55;1;0;SNIP;none;B;N;3140;
STR;BOBASL;Is near: Stari Grad, Central Serbia;RTCM 3.2;1005(30), 1074(1), 1084(1), 1094(1);;;;SRB;44.75;19.57;1;0;SNIP;none;B;N;3060;
STR;Bobcat58504;Is near: Suwanee, Georgia;RTCM 3.2;1005(1), 1074(1), 1084(1), 1094(1), 1230(1);;;;USA;46.79;-100.73;1;0;SNIP;none;B;N;3720;
STR;bobeckag;Is near: Ligonier, Indiana;RTCM 3.2;1006(10), 1033(10), 1074(1), 1084(1), 1094(1), 1124(1), 1230(10);;;;USA;41.44;-85.67;1;0;SNIP;none;B;N;6940;
STR;BODO_2025;Is near: Fornebu, Akershus;RTCM 3;;;;;NOR;;;1;0;SNIP;none;B;N;0;
STR;Bozy1-Alpu;Is near: Ankara, Ankara;RTCM 3.2;1005(1), 1074(1), 1084(1), 1094(1), 1230(1);;;;TUR;39.77;30.96;1;0;SNIP;none;B;N;4520;
STR;BPACA;Is near: Novi Sad, Autonomna Pokrajina Vojvodina;RTCM 3.2;1005(30), 1074(1), 1084(1), 1094(1);;;;SRB;45.25;19.41;1;0;SNIP;none;B;N;3300;
STR;Bracas;Is near: Jekabpils, Jekabpils;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(3), 1020(2), 1033(10), 1042(3), 1046(1), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;LVA;57.07;24.83;1;0;SNIP;none;B;N;11700;
STR;bradninch;Is near: Bideford, England;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(3), 1020(2), 1033(10), 1042(3), 1046(2), 1077(1), 1087(1), 1097(1), 1107(1), 1127(1), 1230(30);;;;GBR;50.84;-3.43;1;0;SNIP;none;B;N;11060;
STR;Bramleys;Is near: Milton Keynes, England;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(2), 1020(2), 1033(10), 1042(3), 1046(1), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;GBR;53.87;-1.20;1;0;SNIP;none;B;N;12660;
STR;BrandtFarms;Is near: Kansas City, Missouri;RTCM 3.2;1006(1), 1033(1), 1074(1), 1084(1), 1094(1), 1124(1), 1230(1);;;;USA;43.23;-93.99;1;0;SNIP;none;B;N;7100;
STR;Briltil;Is near: Leek, Groningen;RTCM 3.2;1005(2), 1008(2), 1074(1), 1077(1), 1084(1), 1087(1), 1094(1), 1097(1), 1124(1), 1127(1), 1230(2);;;;NLD;53.23;6.40;1;0;SNIP;none;B;N;9580;
STR;brinnon-wa;Is near: Shelton, Washington;RTCM 3.3;1006(10), 1033(10), 1077(1), 1087(1), 1097(1), 1107(1), 1127(1);;;;USA;47.71;-122.91;1;0;SNIP;none;B;N;11460;
STR;Brit1-Ntrip;Is near: Lima, Lima;RTCM 3.2;1006(10), 1013(10), 1033(10), 1074(1), 1084(1), 1094(1), 1124(1), 1230(10);;;;PER;-16.41;-71.53;1;0;SNIP;none;B;N;4540;
STR;Brunner;Is near: Drummondville, Quebec;RTCM 3.2;1006(1), 1033(1), 1074(1), 1084(1), 1094(1), 1124(1), 1230(1);;;;CAN;46.16;-72.52;1;0;SNIP;none;B;N;9900;
STR;BrushHills;Is near: Calgary, Alberta;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(3), 1020(2), 1033(10), 1042(3), 1046(1), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;CAN;52.48;-114.19;1;0;SNIP;none;B;N;11240;
STR;Brzezie;Is near: Warsaw, Woj. Mazowieckie;RTCM 3.2;1005(1), 1074(1), 1084(1), 1094(1), 1124(1), 1230(1);;;;POL;52.23;17.37;1;0;SNIP;none;B;N;4540;
STR;BSEL001;Is near: Darmstadt, Hesse;RTCM 3.2;1005(10), 1077(1), 1087(1), 1127(1), 1230(30);;;;DEU;52.45;8.73;1;0;SNIP;none;B;N;3400;
STR;BUCHAREST1;Is near: Bucuresti, Bucuresti;RTCM 3.3;1006(10), 1019(10), 1020(10), 1033(30), 1042(10), 1045(15), 1046(15), 1077(1), 1087(1), 1097(1), 1127(1), 1230(10);;;;ROU;44.51;26.02;1;0;SNIP;none;B;N;12900;
STR;BuskhillFarm;Is near: Kendal, England;RTCM 3.2;1005(1), 1074(1), 1084(1), 1094(1), 1230(1);;;;GBR;54.25;-6.31;1;0;SNIP;none;B;N;4760;
STR;CA_SanJose_ML_X5;Is near: Santa Clara, California;RTCM 3.2;1005(1), 1033(1), 1074(1), 1084(1), 1094(1), 1124(1), 1230(1);;;;USA;37.34;-121.95;1;0;SNIP;none;B;N;6180;
STR;Cadarga;Is near: Brisbane, Queensland;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(3), 1020(1), 1033(10), 1042(1), 1046(2), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;AUS;-26.07;150.94;1;0;SNIP;none;B;N;12000;
STR;Caddybase;Is near: Harpenden, England;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(2), 1020(2), 1033(10), 1042(3), 1046(1), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;GBR;54.78;-6.32;1;0;SNIP;none;B;N;12380;
